Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
97.900002,-0.288427,0.240578
97.950005,-0.283774,0.235336
98.000000,-0.278715,0.229821
98.050003,-0.273957,0.224557
98.100006,-0.268862,0.219187
98.150002,-0.263643,0.213892
98.200005,-0.258333,0.208640
98.250000,-0.253020,0.203451
98.300003,-0.247957,0.198499
98.350006,-0.242697,0.193435
98.400002,-0.237111,0.188440
98.450005,-0.231453,0.183392
98.500000,-0.225900,0.178498
98.550003,-0.220323,0.173725
98.600006,-0.214314,0.168999
98.650002,-0.209132,0.164780
98.700005,-0.203786,0.160695
98.750000,-0.197965,0.156458
98.800003,-0.192036,0.152337
98.850006,-0.186057,0.148364
98.900002,-0.180181,0.144468
98.950005,-0.174271,0.140659
99.000000,-0.168100,0.136910
99.050003,-0.162078,0.133385
99.100006,-0.155859,0.129744
99.150002,-0.150305,0.126375
99.200005,-0.144423,0.123022
99.250000,-0.138570,0.119847
99.300003,-0.132342,0.116626
99.350006,-0.126072,0.113431
99.400002,-0.119696,0.110315
99.450005,-0.113595,0.107318
99.500000,-0.107567,0.104406
99.550003,-0.101373,0.101579
99.600006,-0.095079,0.098809
99.650002,-0.088968,0.096109
99.700005,-0.082841,0.093503
99.750000,-0.076632,0.090952
99.800003,-0.070481,0.088445
99.850006,-0.064249,0.086052
99.900002,-0.057926,0.083719
99.950005,-0.051677,0.081475
100.000000,-0.045238,0.079276
100.050003,-0.038915,0.077182
100.100006,-0.032589,0.075142
100.150002,-0.025852,0.073143
100.200005,-0.019385,0.071165
100.250000,-0.013061,0.069285
100.300003,-0.006604,0.067558
100.350006,-0.000116,0.065903
100.400002,0.006494,0.064288
100.450005,0.013296,0.062750
100.500000,0.019848,0.061344
100.550003,0.026898,0.060022
100.600006,0.034164,0.058767
100.650002,0.040828,0.057579
100.700005,0.047761,0.056358
100.750000,0.054894,0.055293
100.800003,0.060862,0.054149
100.850006,0.067416,0.053184
100.900002,0.074050,0.052325
100.950005,0.080303,0.051451
101.000000,0.087449,0.050754
101.050003,0.094759,0.050118
101.100006,0.101518,0.049486
101.150002,0.108138,0.048912
101.200005,0.114733,0.048427
101.250000,0.121309,0.047919
101.300003,0.128025,0.047562
101.350006,0.134626,0.047192
101.400002,0.141314,0.046950
101.450005,0.148102,0.046770
101.500000,0.154727,0.046614
101.550003,0.161260,0.046458
101.600006,0.167838,0.046366
101.650002,0.174298,0.046293
101.700005,0.180932,0.046386
101.750000,0.187885,0.046545
101.800003,0.194970,0.046658
101.850006,0.202239,0.046942
101.900002,0.208977,0.047156
101.950005,0.215772,0.047462
102.000000,0.222657,0.047932
102.050003,0.229794,0.048512
102.100006,0.236853,0.049180
102.150002,0.243418,0.049684
102.200005,0.250043,0.050306
102.250000,0.256653,0.050987
102.300003,0.263275,0.051690
102.350006,0.270381,0.052773
102.400002,0.277532,0.054061
102.450005,0.284766,0.055680
102.500000,0.291658,0.057214
102.550003,0.298370,0.058664
102.600006,0.305071,0.060316
102.650002,0.311939,0.062173
102.700005,0.318698,0.064030
102.750000,0.325447,0.065947
102.800003,0.332256,0.068078
102.850006,0.338975,0.070291
102.900002,0.345493,0.072445
102.950005,0.352032,0.074745
103.000000,0.358540,0.077111
103.050003,0.364721,0.079286
103.100006,0.370873,0.081512
103.150002,0.377157,0.083959
103.200005,0.383477,0.086486
103.250000,0.389811,0.089091
103.300003,0.396059,0.091692
103.350006,0.402186,0.094257
103.400002,0.408380,0.096933
103.450005,0.414502,0.099657
103.500000,0.420555,0.102401
103.550003,0.426668,0.105270
103.600006,0.432700,0.108152
103.650002,0.438713,0.111130
103.700005,0.444679,0.114157
103.750000,0.450552,0.117127
103.800003,0.456478,0.120224
103.850006,0.462372,0.123392
103.900002,0.468176,0.126547
103.950005,0.474012,0.129849
104.000000,0.479804,0.133140
104.050003,0.485581,0.136502
104.100006,0.491110,0.139633
104.150002,0.496556,0.142668
104.200005,0.502386,0.145996
104.250000,0.508618,0.149936
104.300003,0.514624,0.153645
104.350006,0.520988,0.158070
104.400002,0.527172,0.162371
104.450005,0.533232,0.166650
104.500000,0.538976,0.170649
104.550003,0.545017,0.175137
104.600006,0.550975,0.179712
104.650002,0.556868,0.184378
104.700005,0.562608,0.189116
104.750000,0.568059,0.193537
104.800003,0.573738,0.198565
104.850006,0.579211,0.203299
104.900002,0.584562,0.208014
104.950005,0.590053,0.213225
105.000000,0.595306,0.218506
105.050003,0.600513,0.223535
105.100006,0.605535,0.228518
105.150002,0.610453,0.233620
105.200005,0.615446,0.239076
105.250000,0.620253,0.244361
105.300003,0.624993,0.249977
105.350006,0.629752,0.255739
105.400002,0.634488,0.261365
105.450005,0.639171,0.267321
105.500000,0.643850,0.273152
105.550003,0.648148,0.278624
105.600006,0.652522,0.284379
105.650002,0.656697,0.289842
105.700005,0.660798,0.295199
105.750000,0.665037,0.301179
105.800003,0.669169,0.307291
105.850006,0.673088,0.313300
105.900002,0.676861,0.318690
105.950005,0.680642,0.324341
106.000000,0.684333,0.329947
106.050003,0.688091,0.336181
106.100006,0.691707,0.342704
106.150002,0.695312,0.349073
106.200005,0.698888,0.355405
106.250000,0.702367,0.361966
106.300003,0.705777,0.368663
106.350006,0.709071,0.375339
106.400002,0.712230,0.381959
106.450005,0.715400,0.388752
106.500000,0.718428,0.395578
106.550003,0.721453,0.402041
106.600006,0.724312,0.408749
106.650002,0.727123,0.415445
106.700005,0.729798,0.422307
106.750000,0.732416,0.429377
106.800003,0.734928,0.436297
106.850006,0.737409,0.442881
106.900002,0.739787,0.450197
106.950005,0.741996,0.457161
107.000000,0.744231,0.463856
107.050003,0.746371,0.471005
107.100006,0.748423,0.478224
107.150002,0.750410,0.485212
107.200005,0.752289,0.492328
107.250000,0.754078,0.499102
107.300003,0.755821,0.506105
107.350006,0.757400,0.513470
107.400002,0.758881,0.520637
107.450005,0.760373,0.527760
107.500000,0.761754,0.535083
107.550003,0.762968,0.542416
107.600006,0.764238,0.549346
107.650002,0.765310,0.556762
107.700005,0.766362,0.564044
107.750000,0.767409,0.571019
107.800003,0.768135,0.578392
107.850006,0.769131,0.584849
107.900002,0.769757,0.592212
107.950005,0.770380,0.599530
108.000000,0.771011,0.606644
108.050003,0.771498,0.613961
108.100006,0.771787,0.621601
108.150002,0.771985,0.629137
108.200005,0.772253,0.636448
108.250000,0.772309,0.643986
108.300003,0.772245,0.651519
108.350006,0.772127,0.659045
108.400002,0.771894,0.666525
108.450005,0.771727,0.673741
108.500000,0.771276,0.681380
108.550003,0.770771,0.688794
108.600006,0.770233,0.696224
108.650002,0.769527,0.703717
108.700005,0.768706,0.711144
108.750000,0.767810,0.718552
108.800003,0.766885,0.725863
108.850006,0.765815,0.733218
108.900002,0.764669,0.740581
108.950005,0.763428,0.747930
109.000000,0.762062,0.755201
109.050003,0.760918,0.762100
109.100006,0.759449,0.769347
109.150002,0.758018,0.776348
109.200005,0.756316,0.783721
109.250000,0.754455,0.791138
109.300003,0.752823,0.798005
109.350006,0.750917,0.805107
109.400002,0.749030,0.812074
109.450005,0.747180,0.819035
109.500000,0.744760,0.826415
109.550003,0.742466,0.833611
109.600006,0.740034,0.840811
109.650002,0.737622,0.847759
109.700005,0.734980,0.854842
109.750000,0.732319,0.861823
109.800003,0.729470,0.868825
109.850006,0.726789,0.875622
109.900002,0.723916,0.882357
109.950005,0.720837,0.889166
110.000000,0.717722,0.895807
110.050003,0.714689,0.902447
110.100006,0.711547,0.909006
110.150002,0.708007,0.915673
110.200005,0.704873,0.922028
110.250000,0.701205,0.928601
