Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
91.000000,-0.143984,1.097195,0.099896
91.050003,-0.150308,1.093757,0.099881
91.100006,-0.156694,1.090196,0.099894
91.150002,-0.163105,1.086336,0.099886
91.200005,-0.169382,1.082612,0.099887
91.250000,-0.175702,1.078552,0.099875
91.300003,-0.181811,1.074701,0.099867
91.350006,-0.187836,1.070945,0.099892
91.400002,-0.194077,1.066565,0.099891
91.450005,-0.199880,1.062387,0.099899
91.500000,-0.205487,1.058282,0.099889
91.550003,-0.211299,1.053789,0.099886
91.600006,-0.216927,1.049578,0.099886
91.650002,-0.222588,1.044977,0.099890
91.700005,-0.228312,1.040384,0.099885
91.750000,-0.234051,1.035531,0.099897
91.800003,-0.239421,1.031063,0.099884
91.850006,-0.244865,1.026350,0.099892
91.900002,-0.250342,1.021431,0.099900
91.950005,-0.255610,1.016677,0.099900
92.000000,-0.260997,1.011528,0.099890
92.050003,-0.266192,1.006552,0.099887
92.100006,-0.271326,1.001387,0.099889
92.150002,-0.276415,0.996208,0.099885
92.200005,-0.281439,0.991002,0.099886
92.250000,-0.286432,0.985554,0.099889
92.300003,-0.291497,0.979979,0.099902
92.350006,-0.296264,0.974701,0.099893
92.400002,-0.301014,0.969208,0.099855
92.450005,-0.305880,0.963334,0.099902
92.500000,-0.310522,0.957718,0.099892
92.550003,-0.315142,0.952068,0.099889
92.600006,-0.319690,0.946165,0.099890
92.650002,-0.324117,0.940586,0.099899
92.700005,-0.328497,0.934704,0.099892
92.750000,-0.332732,0.929005,0.099894
92.800003,-0.336993,0.922924,0.099882
92.850006,-0.341069,0.917066,0.099884
92.900002,-0.345165,0.910816,0.099889
92.950005,-0.349177,0.904942,0.099895
93.000000,-0.353137,0.898551,0.099892
93.050003,-0.356980,0.892300,0.099893
93.100006,-0.360709,0.885891,0.099890
93.150002,-0.364390,0.879409,0.099884
93.200005,-0.367913,0.873223,0.099884
93.250000,-0.371407,0.866741,0.099877
93.300003,-0.374653,0.860153,0.099888
93.350006,-0.377629,0.853819,0.099899
93.400002,-0.380571,0.847184,0.099889
93.450005,-0.383426,0.841000,0.099885
93.500000,-0.386195,0.834455,0.099886
93.550003,-0.388873,0.827821,0.099871
93.600006,-0.391508,0.821381,0.099881
93.650002,-0.393980,0.814641,0.099901
93.700005,-0.396432,0.807985,0.099900
93.750000,-0.398808,0.801316,0.099899
